year,geoid,pollutant,sourcetype,regclass,fueltype,roadtype,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by
2022,36109,1,42,48,3,2,0,0,0,15.60540008544922,32817.8984375,NA,NA,NA,NA,1
2022,36109,1,42,48,3,3,4.9606194496154785,319638,7447.18017578125,15.60540008544922,32817.8984375,NA,NA,NA,NA,1
2022,36109,1,42,48,3,4,0.2181364893913269,20033.30078125,340.77801513671875,15.60540008544922,32817.8984375,NA,NA,NA,NA,1
2022,36109,1,42,48,3,5,5.872246742248535,215264,8902.8798828125,15.60540008544922,32817.8984375,NA,NA,NA,NA,1
2022,36109,1,43,41,2,1,1.297742892347742e-5,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,43,41,2,2,0,0,0,0.01586290076375007,7.506430149078369,NA,NA,NA,NA,1
2022,36109,1,43,41,2,3,5.475158468470909e-5,53.18220138549805,1.2390799522399902,0.01586290076375007,7.506430149078369,NA,NA,NA,NA,1
2022,36109,1,43,41,2,4,2.7620531000138726e-6,3.3331799507141113,0.05669910088181496,0.01586290076375007,7.506430149078369,NA,NA,NA,NA,1
2022,36109,1,43,41,2,5,5.390638034441509e-5,35.816001892089844,1.4812699556350708,0.01586290076375007,7.506430149078369,NA,NA,NA,NA,1
2022,36109,1,43,42,1,1,0.03330496326088905,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,43,42,1,2,0,0,0,20.181900024414063,21762.30078125,NA,NA,NA,NA,1
2022,36109,1,43,42,1,3,0.0171463955193758,154182,3592.25,20.181900024414063,21762.30078125,NA,NA,NA,NA,1
2022,36109,1,43,42,1,4,0.00114210275933146,9663.349609375,164.37899780273438,20.181900024414063,21762.30078125,NA,NA,NA,NA,1
2022,36109,1,43,42,1,5,0.01931958645582199,103836,4294.43017578125,20.181900024414063,21762.30078125,NA,NA,NA,NA,1
2022,36109,1,43,42,2,1,0.00116986280772835,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,43,42,2,2,0,0,0,2.054539918899536,1816.3900146484375,NA,NA,NA,NA,1
2022,36109,1,43,42,2,3,0.00183401384856551,12868.7998046875,299.8280029296875,2.054539918899536,1816.3900146484375,NA,NA,NA,NA,1
2022,36109,1,43,42,2,4,9.50619942159392e-5,806.552001953125,13.719900131225586,2.054539918899536,1816.3900146484375,NA,NA,NA,NA,1
2022,36109,1,43,42,2,5,0.00186790467705577,8666.6396484375,358.43499755859375,2.054539918899536,1816.3900146484375,NA,NA,NA,NA,1
2022,36109,1,43,46,1,1,0.03468385338783264,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,43,46,1,2,0,0,0,23.879199981689453,28082.599609375,NA,NA,NA,NA,1
2022,36109,1,43,46,1,3,0.02128749527037143,198961,4635.5400390625,23.879199981689453,28082.599609375,NA,NA,NA,NA,1
2022,36109,1,43,46,1,4,0.00155241531319916,12469.7998046875,212.11900329589844,23.879199981689453,28082.599609375,NA,NA,NA,NA,1
2022,36109,1,43,46,1,5,0.02020067721605301,133992,5541.64013671875,23.879199981689453,28082.599609375,NA,NA,NA,NA,1
2022,36109,1,43,46,2,1,0.10078168660402298,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,43,46,2,2,0,0,0,167.8090057373047,173105,NA,NA,NA,NA,1
2022,36109,1,43,46,2,3,0.10453548282384872,1226420,28574.099609375,167.8090057373047,173105,NA,NA,NA,NA,1
2022,36109,1,43,46,2,4,0.00499290507286787,76865.703125,1307.530029296875,167.8090057373047,173105,NA,NA,NA,NA,1
2022,36109,1,43,46,2,5,0.11596490442752838,825944,34159.3984375,167.8090057373047,173105,NA,NA,NA,NA,1
2022,36109,1,43,47,2,1,0.00611882517114281,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,43,47,2,2,0,0,0,10.233200073242188,10710.2001953125,NA,NA,NA,NA,1
2022,36109,1,43,47,2,3,0.00553173711523413,75879.796875,1767.9000244140625,10.233200073242188,10710.2001953125,NA,NA,NA,NA,1
2022,36109,1,43,47,2,4,2.5957642355933785e-4,4755.75,80.89800262451172,10.233200073242188,10710.2001953125,NA,NA,NA,NA,1
2022,36109,1,43,47,2,5,0.00651571294292807,51102,2113.47998046875,10.233200073242188,10710.2001953125,NA,NA,NA,NA,1
2022,36109,1,51,42,2,1,3.268262298661284e-5,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,51,42,2,2,0,0,0,0.0207161009311676,1.4465700387954712,NA,NA,NA,NA,1
2022,36109,1,51,42,2,3,5.0365866627544165e-5,47.925498962402344,1.116610050201416,0.0207161009311676,1.4465700387954712,NA,NA,NA,NA,1
2022,36109,1,51,42,2,4,3.2671534881956177e-6,3.948050022125244,0.06715840101242065,0.0207161009311676,1.4465700387954712,NA,NA,NA,NA,1
2022,36109,1,51,42,2,5,3.146385643049143e-5,19.71619987487793,0.8154240250587463,0.0207161009311676,1.4465700387954712,NA,NA,NA,NA,1
2022,36109,1,51,46,1,1,0.00295820483006536,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,51,46,1,2,0,0,0,1.4829599857330322,688.9749755859375,NA,NA,NA,NA,1
2022,36109,1,51,46,1,3,0.00621975818648934,22826.099609375,531.8179931640625,1.4829599857330322,688.9749755859375,NA,NA,NA,NA,1
2022,36109,1,51,46,1,4,7.079975912347436e-4,1880.3900146484375,31.986400604248047,1.4829599857330322,688.9749755859375,NA,NA,NA,NA,1
2022,36109,1,51,46,1,5,0.00336117297410964,9390.4697265625,388.3710021972656,1.4829599857330322,688.9749755859375,NA,NA,NA,NA,1
2022,36109,1,51,46,2,1,0.00963808503001928,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,51,46,2,2,0,0,0,7.340089797973633,3372.39990234375,NA,NA,NA,NA,1
2022,36109,1,51,46,2,3,0.014567781239748,111729,2603.14990234375,7.340089797973633,3372.39990234375,NA,NA,NA,NA,1
2022,36109,1,51,46,2,4,9.129319223575294e-4,9204.1298828125,156.56700134277344,7.340089797973633,3372.39990234375,NA,NA,NA,NA,1
2022,36109,1,51,46,2,5,0.00968714337795972,45964.5,1901,7.340089797973633,3372.39990234375,NA,NA,NA,NA,1
2022,36109,1,51,47,2,1,0.03528879582881927,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,51,47,2,2,0,0,0,28.417699813842773,13293.7998046875,NA,NA,NA,NA,1
2022,36109,1,51,47,2,3,0.04539153352379799,440429,10261.400390625,28.417699813842773,13293.7998046875,NA,NA,NA,NA,1
2022,36109,1,51,47,2,4,0.00298252236098051,36282.1015625,617.177001953125,28.417699813842773,13293.7998046875,NA,NA,NA,NA,1
2022,36109,1,51,47,2,5,0.03067997843027115,181189,7493.6201171875,28.417699813842773,13293.7998046875,NA,NA,NA,NA,1
2022,36109,1,51,47,3,1,1.2680561542510986,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,51,47,3,2,0,0,0,6.591139793395996,3179.320068359375,NA,NA,NA,NA,1
2022,36109,1,51,47,3,3,1.955066442489624,105332,2454.110107421875,6.591139793395996,3179.320068359375,NA,NA,NA,NA,1
2022,36109,1,51,47,3,4,0.10697714984416962,8677.169921875,147.60299682617188,6.591139793395996,3179.320068359375,NA,NA,NA,NA,1
2022,36109,1,51,47,3,5,1.46712064743042,43333,1792.1600341796875,6.591139793395996,3179.320068359375,NA,NA,NA,NA,1
2022,36109,1,52,41,1,1,0.38652071356773376,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,52,41,1,2,0,0,0,297.92401123046875,1948930,NA,NA,NA,NA,1
2022,36109,1,52,41,1,3,0.2146228551864624,3191640,74361.296875,297.92401123046875,1948930,NA,NA,NA,NA,1
2022,36109,1,52,41,1,4,0.012609145604074,262924,4472.47998046875,297.92401123046875,1948930,NA,NA,NA,NA,1
2022,36109,1,52,41,1,5,0.17205701768398285,1313020,54303.80078125,297.92401123046875,1948930,NA,NA,NA,NA,1
2022,36109,1,52,41,2,1,1.1785523891448977,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,52,41,2,2,0,0,0,464.66400146484375,2614400,NA,NA,NA,NA,1
2022,36109,1,52,41,2,3,0.3139494061470032,4281440,99752.203125,464.66400146484375,2614400,NA,NA,NA,NA,1
2022,36109,1,52,41,2,4,0.02008081600069999,352700,5999.6201171875,464.66400146484375,2614400,NA,NA,NA,NA,1
2022,36109,1,52,41,2,5,0.2046375870704651,1761350,72846,464.66400146484375,2614400,NA,NA,NA,NA,1
2022,36109,1,52,42,1,1,0.789825439453125,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,52,42,1,2,0,0,0,144.4239959716797,932899,NA,NA,NA,NA,1
2022,36109,1,52,42,1,3,0.17641165852546692,1527750,35594.69921875,144.4239959716797,932899,NA,NA,NA,NA,1
2022,36109,1,52,42,1,4,0.01087838970124721,125854,2140.85009765625,144.4239959716797,932899,NA,NA,NA,NA,1
2022,36109,1,52,42,1,5,0.14011478424072266,628505,25993.69921875,144.4239959716797,932899,NA,NA,NA,NA,1
2022,36109,1,52,42,2,1,0.5357807874679565,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,52,42,2,2,0,0,0,215.7899932861328,1157840,NA,NA,NA,NA,1
2022,36109,1,52,42,2,3,0.1750374138355255,1896120,44177.19921875,215.7899932861328,1157840,NA,NA,NA,NA,1
