sourceTypeID,monthID,roadTypeID,dayID,dayVMTFraction,FIP
41,3,3,2,0.27882,36085
41,3,3,5,0.72118,36085
41,3,4,2,0.237635,36085
41,3,4,5,0.762365,36085
41,3,5,2,0.237635,36085
41,3,5,5,0.762365,36085
41,4,1,2,0.237635,36085
41,4,1,5,0.762365,36085
41,4,2,2,0.27882,36085
41,4,2,5,0.72118,36085
41,4,3,2,0.27882,36085
41,4,3,5,0.72118,36085
41,4,4,2,0.237635,36085
41,4,4,5,0.762365,36085
41,4,5,2,0.237635,36085
41,4,5,5,0.762365,36085
41,5,1,2,0.237635,36085
41,5,1,5,0.762365,36085
41,5,2,2,0.27882,36085
41,5,2,5,0.72118,36085
41,5,3,2,0.27882,36085
41,5,3,5,0.72118,36085
41,5,4,2,0.237635,36085
41,5,4,5,0.762365,36085
41,5,5,2,0.237635,36085
41,5,5,5,0.762365,36085
41,6,1,2,0.237635,36085
41,6,1,5,0.762365,36085
41,6,2,2,0.27882,36085
41,6,2,5,0.72118,36085
41,6,3,2,0.27882,36085
41,6,3,5,0.72118,36085
41,6,4,2,0.237635,36085
41,6,4,5,0.762365,36085
41,6,5,2,0.237635,36085
41,6,5,5,0.762365,36085
41,7,1,2,0.237635,36085
41,7,1,5,0.762365,36085
41,7,2,2,0.27882,36085
41,7,2,5,0.72118,36085
41,7,3,2,0.27882,36085
41,7,3,5,0.72118,36085
41,7,4,2,0.237635,36085
41,7,4,5,0.762365,36085
41,7,5,2,0.237635,36085
41,7,5,5,0.762365,36085
41,8,1,2,0.237635,36085
41,8,1,5,0.762365,36085
41,8,2,2,0.27882,36085
41,8,2,5,0.72118,36085
41,8,3,2,0.27882,36085
41,8,3,5,0.72118,36085
41,8,4,2,0.237635,36085
41,8,4,5,0.762365,36085
41,8,5,2,0.237635,36085
41,8,5,5,0.762365,36085
41,9,1,2,0.237635,36085
41,9,1,5,0.762365,36085
41,9,2,2,0.27882,36085
41,9,2,5,0.72118,36085
41,9,3,2,0.27882,36085
41,9,3,5,0.72118,36085
41,9,4,2,0.237635,36085
41,9,4,5,0.762365,36085
41,9,5,2,0.237635,36085
41,9,5,5,0.762365,36085
41,10,1,2,0.237635,36085
41,10,1,5,0.762365,36085
41,10,2,2,0.27882,36085
41,10,2,5,0.72118,36085
41,10,3,2,0.27882,36085
41,10,3,5,0.72118,36085
41,10,4,2,0.237635,36085
41,10,4,5,0.762365,36085
41,10,5,2,0.237635,36085
41,10,5,5,0.762365,36085
41,11,1,2,0.237635,36085
41,11,1,5,0.762365,36085
41,11,2,2,0.27882,36085
41,11,2,5,0.72118,36085
41,11,3,2,0.27882,36085
41,11,3,5,0.72118,36085
41,11,4,2,0.237635,36085
41,11,4,5,0.762365,36085
41,11,5,2,0.237635,36085
41,11,5,5,0.762365,36085
41,12,1,2,0.237635,36085
41,12,1,5,0.762365,36085
41,12,2,2,0.27882,36085
41,12,2,5,0.72118,36085
41,12,3,2,0.27882,36085
41,12,3,5,0.72118,36085
41,12,4,2,0.237635,36085
41,12,4,5,0.762365,36085
41,12,5,2,0.237635,36085
41,12,5,5,0.762365,36085
42,1,1,2,0.237635,36085
42,1,1,5,0.762365,36085
42,1,2,2,0.27882,36085
42,1,2,5,0.72118,36085
42,1,3,2,0.27882,36085
42,1,3,5,0.72118,36085
42,1,4,2,0.237635,36085
42,1,4,5,0.762365,36085
